zona,accidentes,accidentes_alcance,accidentes_atropello,accidentes_salida,accidentes_tijera_camion,accidentes_vuelco,accidentes_invierno,accidentes_primavera,accidentes_verano,accidentes_otoño,trafico_fluido,trafico_lento,trafico_muy_lento,trafico_parado,mañana(00:00-11:59),tarde(12:00-23:59)
0,52,40,1,10,0,1,12,14,10,16,43,9,0,0,25,27
1,62,28,2,26,0,6,12,16,15,19,42,19,1,0,20,42
2,86,39,0,19,5,23,17,26,22,21,43,33,6,4,33,53
3,240,154,1,77,1,7,92,46,52,50,185,42,11,1,65,175
4,143,109,4,27,0,3,37,34,29,43,111,28,3,1,48,95
5,158,109,1,45,0,3,42,42,28,46,116,37,4,0,68,90
6,61,50,1,9,0,1,13,17,13,18,47,14,0,0,13,48
7,27,10,2,9,1,5,9,0,9,9,25,2,0,0,13,14
8,98,57,2,28,6,5,34,25,21,18,73,24,0,0,39,59
9,31,14,0,11,0,6,5,13,6,7,18,13,0,0,8,23
10,22,14,2,4,0,2,5,7,4,6,17,5,0,0,4,18
11,40,27,2,11,0,0,18,4,9,9,24,15,1,0,16,24
12,172,83,5,70,0,14,42,45,40,45,120,46,5,0,61,111
13,12,6,0,5,0,1,4,1,2,5,11,1,0,0,4,8
14,125,90,0,25,0,10,44,28,23,30,94,31,0,0,44,81
15,48,35,2,11,0,0,10,13,13,12,40,8,0,0,12,36
16,17,3,0,13,0,1,6,7,2,2,12,4,0,0,6,11
17,224,179,7,25,0,13,59,58,51,56,163,55,4,2,85,139
18,386,350,3,28,0,5,100,71,86,129,272,99,11,4,109,277
19,23,2,1,9,6,5,2,3,14,4,16,6,1,0,15,8
20,151,104,2,40,0,5,66,41,19,25,110,40,0,1,42,109
21,231,139,0,67,1,24,69,71,30,61,162,58,7,4,93,138
22,14,9,1,4,0,0,3,1,7,3,11,3,0,0,6,8
23,6,4,0,2,0,0,3,0,0,3,4,2,0,0,2,4
24,144,116,0,21,0,7,29,48,19,48,94,36,14,0,46,98
25,49,29,4,15,1,0,17,14,11,7,40,9,0,0,12,37
26,44,21,1,21,0,1,3,15,14,12,34,9,0,0,12,32
27,251,150,1,81,2,17,85,67,44,55,147,85,18,1,87,164
28,43,25,1,10,0,7,7,10,16,10,34,7,0,1,16,27
29,146,105,4,34,0,3,53,37,22,34,110,32,3,1,52,94
30,5,2,0,3,0,0,1,2,2,0,5,0,0,0,1,4
31,244,180,1,52,0,11,79,57,39,69,184,51,7,2,103,141
32,64,38,3,9,0,14,17,13,13,21,41,18,3,2,21,43
33,32,22,0,8,0,2,11,7,4,10,26,6,0,0,8,24
34,28,18,0,7,0,3,12,8,6,2,20,7,0,1,10,18
35,46,14,0,23,0,9,7,11,11,17,35,11,0,0,8,38
36,12,7,2,2,0,1,1,7,1,3,8,4,0,0,2,10
37,111,94,0,15,0,2,41,29,23,18,79,29,3,0,29,82
38,68,28,0,26,0,14,22,10,20,16,55,12,1,0,22,46
39,45,22,0,21,0,2,16,12,9,8,31,11,2,1,18,27
40,63,41,1,13,3,5,21,15,13,14,49,13,0,1,24,39
41,132,73,1,54,0,4,42,28,24,38,99,31,0,2,36,96
42,28,13,0,9,0,6,10,6,3,9,26,2,0,0,6,22
43,140,108,2,28,0,2,45,39,20,36,82,40,16,2,55,85
44,16,7,0,8,0,1,7,2,4,3,12,3,0,1,5,11
45,105,73,1,23,0,8,29,30,22,24,67,29,6,2,29,76
46,142,90,1,42,0,9,42,37,23,40,102,39,0,1,54,88
47,24,9,0,6,2,7,2,3,10,9,16,7,0,1,8,16
48,19,15,0,2,0,2,9,4,3,3,13,5,0,1,4,15
49,93,60,1,24,0,8,27,33,27,6,74,19,0,0,38,55
50,183,122,1,51,1,8,63,50,25,45,118,58,5,0,66,117
51,90,42,0,42,2,4,33,11,14,32,75,15,0,0,34,56
52,21,11,2,7,0,1,3,9,4,5,18,3,0,0,10,11
53,3,1,0,0,0,2,0,1,2,0,3,0,0,0,2,1
54,25,8,3,7,3,4,5,6,10,4,20,2,2,1,10,15
55,26,17,0,5,0,4,14,3,5,4,16,10,0,0,14,12
56,113,73,1,29,0,10,44,19,22,28,88,22,3,0,46,67
57,60,51,1,6,0,2,19,14,11,16,42,16,2,0,20,40
58,28,18,0,8,0,2,7,9,5,7,26,2,0,0,4,24
59,17,6,0,11,0,0,1,2,4,10,15,2,0,0,6,11
60,111,84,1,20,2,4,22,36,21,32,72,36,3,0,41,70
61,15,8,1,6,0,0,3,3,3,6,15,0,0,0,4,11
62,72,36,0,21,1,14,27,14,18,13,45,19,3,5,34,38
63,64,46,0,13,1,4,15,17,11,21,33,30,0,1,28,36
64,98,88,0,9,0,1,27,23,14,34,67,24,6,1,23,75
65,46,29,0,16,0,1,19,12,9,6,26,19,0,0,19,27
