zona,accidentes,accidentes_alcance,accidentes_atropello,accidentes_salida,accidentes_tijera_camion,accidentes_vuelco,accidentes_invierno,accidentes_primavera,accidentes_verano,accidentes_otoño,trafico_fluido,trafico_lento,trafico_muy_lento,trafico_parado,mañana(00:00-11:59),tarde(12:00-23:59),grupo
0,14,11,0,0,0,3,3,5,1,5,10,3,0,1,3,11,1
1,41,23,4,13,1,0,14,11,10,6,34,7,0,0,7,34,2
2,31,20,0,10,0,1,11,8,7,5,18,12,0,0,12,19,1
3,14,7,0,7,0,0,8,2,2,2,7,6,1,0,6,8,1
4,131,76,1,43,0,11,49,26,21,35,86,35,10,0,48,83,2
5,62,27,0,26,2,7,11,15,17,19,42,20,0,0,19,43,2
6,212,171,7,21,0,13,59,51,46,56,157,51,4,0,82,130,5
7,194,138,3,43,0,10,76,48,29,41,143,47,3,1,66,128,2
8,63,37,1,16,6,3,11,18,10,24,36,22,4,1,26,37,3
9,271,158,1,99,2,11,91,69,57,54,185,72,12,2,86,185,5
10,131,88,0,40,1,2,55,20,21,35,103,20,7,0,39,92,2
12,10,6,0,2,0,2,1,3,3,3,8,2,0,0,5,5,1
13,56,34,1,16,3,2,17,15,14,10,42,13,0,0,25,31,4
14,54,44,1,8,0,1,13,16,11,14,41,13,0,0,9,45,1
15,10,8,0,2,0,0,5,3,1,1,8,2,0,0,4,6,1
16,127,96,2,27,0,2,44,33,20,30,74,35,16,2,53,74,2
17,269,163,2,91,0,13,84,65,47,73,197,69,0,3,88,181,5
18,70,36,1,22,0,11,24,20,12,14,44,22,2,2,33,37,2
19,38,24,1,4,0,9,6,7,13,12,28,8,0,2,11,27,1
20,32,21,0,9,0,2,6,12,7,7,18,11,2,0,10,22,1
21,43,30,1,10,0,2,15,11,11,6,29,13,1,0,11,32,1
22,19,13,0,5,0,1,6,5,6,2,15,4,0,0,7,12,1
23,248,180,4,51,4,9,70,59,46,73,178,64,3,3,93,155,3
24,53,22,0,10,1,20,12,22,13,6,25,22,3,3,15,38,2
25,57,45,0,10,0,2,16,13,10,18,45,12,0,0,20,37,1
26,18,4,0,13,0,1,4,2,7,5,12,6,0,0,7,11,1
27,17,14,1,2,0,0,7,5,1,4,13,4,0,0,7,10,1
28,12,8,0,3,0,1,7,2,1,2,10,2,0,0,5,7,1
29,13,2,1,5,0,5,5,0,2,6,13,0,0,0,8,5,1
30,14,7,1,6,0,0,1,6,4,3,10,3,0,0,5,9,1
31,72,29,0,34,0,9,20,20,15,17,48,22,1,0,27,45,1
32,20,6,0,9,0,5,3,5,4,8,13,7,0,0,5,15,1
33,13,8,0,5,0,0,5,5,1,2,6,7,0,0,4,9,1
34,22,10,1,6,3,2,10,5,1,6,16,6,0,0,6,16,4
35,14,11,0,3,0,0,6,3,4,1,9,5,0,0,3,11,1
36,13,7,0,3,0,3,6,3,3,1,10,3,0,0,7,6,1
37,14,12,0,1,0,1,5,1,3,5,9,5,0,0,8,6,1
38,42,9,0,28,0,5,8,10,13,11,35,7,0,0,10,32,1
39,41,32,1,7,0,1,14,11,3,13,29,10,2,0,15,26,1
40,26,14,2,5,0,5,11,6,0,9,13,10,3,0,10,16,1
41,37,24,0,13,0,0,12,11,7,7,24,13,0,0,16,21,1
42,29,19,0,10,0,0,7,7,7,8,17,10,2,0,7,22,1
43,26,13,0,11,0,2,11,6,4,5,19,4,2,1,12,14,1
44,12,7,0,5,0,0,4,2,4,2,9,3,0,0,5,7,1
45,33,14,0,11,0,8,6,2,14,11,30,3,0,0,13,20,1
46,28,11,0,12,0,5,12,7,4,5,22,6,0,0,7,21,1
47,25,13,0,12,0,0,9,6,3,7,19,4,2,0,11,14,1
48,19,16,0,3,0,0,4,4,3,8,17,2,0,0,10,9,1
49,17,6,2,2,3,4,4,4,5,4,12,2,2,1,7,10,4
50,15,5,0,5,0,5,0,2,5,8,10,5,0,0,5,10,1
51,11,2,1,4,3,1,2,2,6,1,7,3,1,0,9,2,4
52,12,7,1,3,1,0,3,0,6,3,11,1,0,0,4,8,2
53,15,13,0,1,0,1,2,3,4,6,11,4,0,0,3,12,1
54,13,9,0,2,0,2,2,3,3,5,11,2,0,0,6,7,1
55,10,9,0,1,0,0,3,4,1,2,10,0,0,0,2,8,1
56,10,7,0,3,0,0,3,3,0,4,8,2,0,0,0,10,1
57,14,9,3,2,0,0,1,4,8,1,14,0,0,0,7,7,1
58,20,13,0,6,0,1,1,9,5,5,16,4,0,0,4,16,1
59,11,5,0,4,0,2,2,3,4,2,10,1,0,0,3,8,1
60,13,9,0,4,0,0,4,0,3,6,9,1,3,0,5,8,1
61,19,13,1,3,0,2,5,5,4,5,14,5,0,0,3,16,1
62,16,9,0,6,0,1,4,3,3,6,11,4,1,0,5,11,1
63,11,4,2,4,0,1,2,3,3,3,9,2,0,0,6,5,1
64,11,7,0,3,0,1,1,2,4,4,10,1,0,0,1,10,1
11,1959,1482,8,379,2,88,589,500,339,531,1391,491,62,12,678,1281,6
